Lat,Lon,id,startDate,endDate,nDays
47.997,-120.638,187,808,808,0
48.048,-120.638,188,717,808,22
47.693,-120.637,189,717,717,0
48.342,-120.637,190,718,718,0
48.393,-120.637,191,804,810,6
47.987,-120.635,192,721,721,0
48.038,-120.635,193,721,811,21
48.383,-120.634,194,809,809,0
47.978,-120.632,195,808,808,0
48.028,-120.632,196,729,811,13
48.374,-120.631,197,731,811,11
48.069,-120.63,198,720,720,0
48.019,-120.629,199,731,806,6
48.313,-120.628,200,718,718,0
48.364,-120.628,201,715,806,22
48.06,-120.627,202,717,730,13
48.009,-120.626,203,801,811,10
47.705,-120.625,204,717,717,0
48.354,-120.625,205,716,806,21
47.999,-120.624,206,718,810,23
48.05,-120.624,207,717,808,22
48.344,-120.622,208,716,718,2
47.989,-120.621,209,721,804,14
48.04,-120.621,210,716,806,21
48.385,-120.619,211,808,811,3
48.03,-120.618,212,721,806,16
48.325,-120.616,213,718,718,0
48.376,-120.616,214,716,716,0
48.021,-120.615,215,718,808,21
48.366,-120.613,216,717,811,25
47.96,-120.612,217,716,716,0
48.011,-120.612,218,731,804,4
48.062,-120.612,219,730,730,0
48.356,-120.61,220,717,804,18
48.407,-120.61,221,808,808,0
48.001,-120.609,222,718,801,14
48.052,-120.609,223,729,731,2
48.346,-120.607,224,717,808,22
47.991,-120.606,225,731,805,5
48.042,-120.606,226,717,811,25
48.387,-120.604,227,809,811,2
47.931,-120.603,228,716,718,2
47.982,-120.603,229,804,807,3
48.032,-120.603,230,717,807,21
48.378,-120.602,231,801,811,10
48.327,-120.601,232,716,716,0
47.972,-120.6,233,804,809,5
48.023,-120.6,234,718,801,14
48.368,-120.599,235,731,731,0
48.064,-120.598,236,731,731,0
47.962,-120.597,237,809,809,0
48.013,-120.597,238,730,805,6
48.358,-120.596,239,717,731,14
48.054,-120.595,240,730,805,6
48.003,-120.594,241,718,805,18
48.348,-120.593,242,717,717,0
48.399,-120.593,243,808,808,0
47.993,-120.592,244,730,808,9
48.044,-120.592,245,729,731,2
48.389,-120.59,246,803,803,0
47.984,-120.589,247,804,809,5
48.034,-120.589,248,721,809,19
48.38,-120.587,249,717,717,0
47.974,-120.586,250,804,809,5
48.025,-120.586,251,718,809,22
48.075,-120.586,252,810,810,0
48.37,-120.584,253,717,731,14
48.015,-120.583,254,730,809,10
48.066,-120.583,255,731,731,0
48.36,-120.581,256,731,731,0
48.005,-120.58,257,721,806,16
48.056,-120.58,258,730,810,11
48.35,-120.578,259,717,731,14
47.945,-120.577,260,716,716,0
47.995,-120.577,261,730,805,6
48.046,-120.577,262,730,808,9
48.341,-120.575,263,717,717,0
47.935,-120.574,264,808,808,0
47.986,-120.574,265,806,809,3
48.036,-120.574,266,730,809,10
47.976,-120.571,267,804,809,5
48.027,-120.571,268,801,808,7
48.372,-120.569,269,717,717,0
47.966,-120.568,270,808,809,1
48.017,-120.568,271,722,809,18
48.362,-120.566,272,731,731,0
47.956,-120.565,273,810,810,0
48.007,-120.565,274,718,807,20
48.048,-120.563,275,804,806,2
48.352,-120.563,276,731,731,0
47.947,-120.562,277,810,810,0
47.997,-120.562,278,729,807,9
47.988,-120.56,279,804,809,5
48.038,-120.56,280,808,811,3
47.937,-120.559,281,719,719,0
48.384,-120.558,282,731,731,0
47.978,-120.557,283,807,811,4
48.029,-120.557,284,731,810,10
48.374,-120.555,285,717,717,0
47.968,-120.554,286,807,811,4
48.019,-120.554,287,731,808,8
48.07,-120.554,288,810,810,0
47.958,-120.551,289,810,811,1
48.009,-120.551,290,805,807,2
48.06,-120.551,291,808,808,0
47.949,-120.548,292,809,828,19
47.999,-120.548,293,805,809,4
48.345,-120.546,294,716,716,0
47.939,-120.545,295,808,808,0
47.99,-120.545,296,807,811,4
48.04,-120.545,297,731,811,11
47.98,-120.542,298,806,811,5
48.031,-120.542,299,807,807,0
47.97,-120.539,300,810,811,1
48.021,-120.539,301,730,811,12
47.96,-120.536,302,811,828,17
48.011,-120.536,303,804,811,7
47.25,-120.535,304,811,811,0
48.052,-120.534,305,804,805,1
47.951,-120.533,306,811,811,0
48.001,-120.533,307,804,811,7
47.992,-120.531,308,808,811,3
48.042,-120.531,309,808,808,0
47.941,-120.53,310,829,829,0
47.982,-120.528,311,810,811,1
48.033,-120.528,312,808,808,0
47.972,-120.525,313,809,828,19
48.023,-120.525,314,804,805,1
47.962,-120.522,315,811,828,17
48.013,-120.522,316,806,810,4
47.953,-120.519,317,828,828,0
48.003,-120.519,318,718,807,20
47.994,-120.516,319,807,807,0
48.389,-120.514,320,717,717,0
47.984,-120.513,321,807,811,4
47.974,-120.51,322,811,811,0
48.015,-120.507,323,807,811,4
48.005,-120.504,324,804,804,0
47.995,-120.501,325,804,807,3
47.986,-120.499,326,811,811,0
48.017,-120.493,327,804,804,0
47.947,-120.487,328,812,812,0
48.393,-120.484,329,717,717,0
48.384,-120.482,330,717,717,0
48.009,-120.475,331,804,804,0
48.405,-120.473,332,804,804,0
48.395,-120.47,333,804,804,0
48.933,-120.464,334,812,812,0
48.397,-120.455,335,805,805,0
48.419,-120.446,336,804,804,0
48.469,-120.446,337,809,809,0
48.409,-120.443,338,805,805,0
48.46,-120.443,339,809,809,0
48.399,-120.441,340,805,805,0
48.45,-120.441,341,809,809,0
48.44,-120.438,342,808,809,1
48.43,-120.435,343,804,809,5
48.937,-120.435,344,811,811,0
48.421,-120.432,345,805,805,0
48.928,-120.432,346,811,811,0
48.411,-120.429,347,805,809,4
48.462,-120.429,348,809,809,0
48.401,-120.426,349,805,809,4
48.452,-120.426,350,804,811,7
48.391,-120.423,351,805,805,0
48.442,-120.423,352,804,810,6
48.432,-120.42,353,805,811,6
48.423,-120.417,354,805,805,0
48.473,-120.417,355,808,810,2
48.413,-120.414,356,804,811,7
48.464,-120.414,357,809,811,2
48.403,-120.411,358,806,810,4
48.454,-120.411,359,804,811,7
48.393,-120.408,360,809,809,0
48.444,-120.408,361,804,811,7
48.434,-120.405,362,804,811,7
48.425,-120.402,363,805,805,0
48.415,-120.4,364,805,809,4
48.465,-120.4,365,809,811,2
48.405,-120.397,366,804,811,7
48.456,-120.397,367,809,811,2
48.395,-120.394,368,808,810,2
48.446,-120.394,369,807,811,4
48.436,-120.391,370,805,810,5
48.426,-120.388,371,805,809,4
48.417,-120.385,372,805,811,6
48.467,-120.385,373,811,811,0
48.407,-120.382,374,806,811,5
48.458,-120.382,375,804,811,7
48.397,-120.379,376,809,811,2
48.448,-120.379,377,806,810,4
47.221,-120.377,378,810,810,0
48.387,-120.376,379,809,809,0
48.438,-120.376,380,806,810,4
48.378,-120.373,381,808,808,0
48.428,-120.373,382,803,807,4
48.419,-120.37,383,806,808,2
48.409,-120.367,384,806,812,6
48.399,-120.364,385,807,810,3
48.45,-120.364,386,808,808,0
48.44,-120.361,387,810,811,1
48.43,-120.359,388,804,810,6
48.421,-120.356,389,804,811,7
48.471,-120.356,390,811,811,0
48.411,-120.353,391,806,811,5
48.401,-120.35,392,810,810,0
48.391,-120.347,393,805,809,4
48.442,-120.347,394,811,811,0
48.432,-120.344,395,804,811,7
48.736,-120.343,396,804,804,0
48.727,-120.34,397,804,804,0
48.464,-120.338,398,810,810,0
48.717,-120.337,399,806,806,0
48.768,-120.337,400,809,809,0
48.707,-120.335,401,806,806,0
48.758,-120.334,402,804,804,0
48.444,-120.332,403,811,811,0
48.779,-120.326,404,809,809,0
48.658,-120.32,405,806,806,0
48.446,-120.317,406,811,811,0
48.75,-120.317,407,804,809,5
48.801,-120.317,408,809,809,0
48.436,-120.315,409,811,812,1
48.74,-120.314,410,804,809,5
48.791,-120.314,411,809,810,1
48.731,-120.311,412,805,805,0
48.781,-120.311,413,809,809,0
48.721,-120.308,414,806,806,0
48.772,-120.308,415,804,809,5
48.66,-120.305,416,806,806,0
48.762,-120.305,417,809,811,2
48.752,-120.302,418,806,810,4
48.742,-120.299,419,805,811,6
48.793,-120.299,420,809,810,1
47.557,-120.296,421,720,720,0
48.733,-120.296,422,805,811,6
48.783,-120.296,423,804,811,7
48.773,-120.293,424,804,812,8
48.46,-120.291,425,811,811,0
48.764,-120.29,426,805,811,6
48.754,-120.287,427,805,811,6
48.694,-120.285,428,806,806,0
48.744,-120.284,429,803,811,8
48.795,-120.284,430,805,811,6
48.734,-120.281,431,811,811,0
48.785,-120.281,432,809,811,2
48.725,-120.279,433,805,811,6
48.775,-120.278,434,804,812,8
48.715,-120.276,435,809,809,0
48.766,-120.275,436,804,811,7
48.705,-120.273,437,806,809,3
48.756,-120.273,438,805,811,6
48.807,-120.272,439,804,811,7
48.746,-120.27,440,805,810,5
48.797,-120.269,441,810,811,1
48.736,-120.267,442,805,811,6
48.787,-120.267,443,803,811,8
48.169,-120.266,444,721,721,0
48.727,-120.264,445,806,811,5
48.777,-120.264,446,804,811,7
48.717,-120.261,447,809,809,0
48.768,-120.261,448,803,809,6
48.707,-120.258,449,807,809,2
48.758,-120.258,450,805,807,2
48.19,-120.257,451,721,721,0
48.697,-120.255,452,806,809,3
48.748,-120.255,453,805,811,6
48.181,-120.254,454,721,721,0
48.738,-120.252,455,805,806,1
48.789,-120.252,456,812,812,0
48.222,-120.251,457,721,721,0
48.678,-120.249,458,808,808,0
48.729,-120.249,459,805,806,1
48.779,-120.249,460,805,811,6
48.161,-120.248,461,721,721,0
48.212,-120.248,462,721,721,0
48.719,-120.246,463,805,807,2
48.77,-120.246,464,805,806,1
48.151,-120.245,465,721,721,0
48.202,-120.245,466,721,721,0
48.709,-120.243,467,806,809,3
48.76,-120.243,468,804,806,2
48.81,-120.243,469,804,805,1
48.192,-120.242,470,721,721,0
48.75,-120.24,471,804,811,7
48.183,-120.239,472,721,721,0
48.74,-120.237,473,805,805,0
48.791,-120.237,474,810,810,0
48.173,-120.236,475,721,721,0
48.731,-120.234,476,805,807,2
48.781,-120.234,477,810,810,0
48.163,-120.233,478,721,721,0
48.214,-120.233,479,721,721,0
48.721,-120.231,480,806,808,2
48.771,-120.231,481,805,811,6
48.711,-120.229,482,806,811,5
48.194,-120.228,483,721,727,6
48.762,-120.228,484,805,807,2
48.701,-120.226,485,807,811,4
48.752,-120.225,486,804,805,1
48.235,-120.224,487,720,720,0
48.175,-120.222,488,721,726,5
48.742,-120.222,489,805,810,5
48.732,-120.22,490,805,810,5
48.783,-120.219,491,811,811,0
48.723,-120.217,492,806,811,5
48.155,-120.216,493,721,721,0
48.206,-120.216,494,718,730,12
48.773,-120.216,495,804,809,5
48.713,-120.214,496,806,811,5
48.764,-120.214,497,804,806,2
48.196,-120.213,498,721,729,8
48.247,-120.213,499,721,721,0
48.814,-120.213,500,805,805,0
48.703,-120.211,501,811,811,0
48.754,-120.211,502,805,805,0
48.186,-120.21,503,721,722,1
48.237,-120.21,504,721,721,0
48.693,-120.208,505,811,811,0
48.177,-120.207,506,718,721,3
48.227,-120.207,507,721,721,0
47.71,-120.206,508,821,821,0
48.734,-120.205,509,805,807,2
48.167,-120.204,510,721,726,5
48.218,-120.204,511,721,721,0
48.725,-120.202,512,806,811,5
48.208,-120.201,513,721,730,9
48.715,-120.199,514,808,811,3
48.198,-120.198,515,721,721,0
48.249,-120.198,516,717,717,0
48.705,-120.196,517,806,806,0
48.756,-120.196,518,804,806,2
48.188,-120.195,519,721,721,0
48.239,-120.195,520,718,718,0
48.179,-120.193,521,718,721,3
48.695,-120.193,522,811,811,0
48.229,-120.192,523,717,721,4
48.169,-120.19,524,721,721,0
48.22,-120.19,525,717,721,4
48.736,-120.19,526,811,811,0
48.27,-120.189,527,720,720,0
48.21,-120.187,528,720,721,1
48.2,-120.184,529,718,721,3
48.19,-120.181,530,718,719,1
48.241,-120.181,531,718,719,1
48.13,-120.178,532,721,721,0
48.231,-120.178,533,716,721,5
48.12,-120.175,534,721,721,0
48.171,-120.175,535,718,718,0
48.11,-120.173,536,721,721,0
48.161,-120.172,537,719,719,0
48.212,-120.172,538,718,718,0
48.262,-120.172,539,717,717,0
48.728,-120.172,540,811,811,0
48.202,-120.169,541,717,721,4
48.253,-120.169,542,721,721,0
48.141,-120.167,543,721,721,0
48.192,-120.166,544,717,717,0
48.243,-120.166,545,718,718,0
48.76,-120.166,546,806,806,0
48.81,-120.166,547,805,805,0
48.496,-120.165,548,804,804,0
48.132,-120.164,549,721,721,0
48.182,-120.163,550,718,721,3
48.233,-120.163,551,717,717,0
48.385,-120.162,552,801,801,0
48.487,-120.162,553,731,731,0
48.173,-120.161,554,718,718,0
48.223,-120.16,555,716,721,5
48.112,-120.158,556,721,721,0
48.163,-120.158,557,718,718,0
48.214,-120.157,558,716,717,1
48.102,-120.155,559,721,721,0
48.153,-120.155,560,718,721,3
48.204,-120.155,561,717,718,1
48.255,-120.154,562,721,721,0
48.143,-120.152,563,718,718,0
48.194,-120.152,564,717,717,0
48.245,-120.151,565,717,722,5
48.134,-120.149,566,718,730,12
48.235,-120.149,567,716,717,1
48.489,-120.147,568,721,731,10
48.124,-120.146,569,718,721,3
48.175,-120.146,570,716,720,4
48.225,-120.146,571,716,717,1
48.793,-120.146,572,806,806,0
48.428,-120.145,573,718,718,0
48.479,-120.144,574,718,731,13
48.114,-120.143,575,718,718,0
48.165,-120.143,576,718,718,0
48.216,-120.143,577,715,721,6
48.418,-120.142,578,718,718,0
48.104,-120.141,579,720,720,0
48.469,-120.141,580,718,718,0
48.206,-120.14,581,717,717,0
48.256,-120.14,582,717,717,0
48.773,-120.14,583,806,806,0
48.409,-120.139,584,718,718,0
48.51,-120.138,585,801,801,0
48.145,-120.137,586,718,718,0
48.763,-120.137,587,806,806,0
48.136,-120.135,588,718,720,2
48.5,-120.135,589,721,731,10
48.186,-120.134,590,715,717,2
48.237,-120.134,591,717,717,0
48.389,-120.133,592,718,718,0
48.49,-120.133,593,716,731,15
48.126,-120.132,594,718,718,0
48.227,-120.131,595,716,717,1
48.43,-120.13,596,718,718,0
48.481,-120.13,597,718,721,3
48.116,-120.129,598,718,721,3
48.167,-120.129,599,716,721,5
48.217,-120.128,600,716,716,0
48.42,-120.127,601,718,718,0
48.471,-120.127,602,718,718,0
48.106,-120.126,603,718,721,3
48.157,-120.126,604,718,721,3
48.522,-120.126,605,720,721,1
48.411,-120.124,606,718,718,0
48.461,-120.124,607,718,721,3
48.512,-120.124,608,718,801,14
48.046,-120.123,609,721,721,0
48.097,-120.123,610,718,718,0
48.198,-120.123,611,714,717,3
48.35,-120.122,612,720,720,0
48.401,-120.121,613,718,719,1
48.502,-120.121,614,718,731,13
48.137,-120.12,615,718,718,0
48.188,-120.12,616,717,717,0
48.239,-120.119,617,715,715,0
48.806,-120.119,618,806,806,0
48.492,-120.118,619,720,721,1
48.128,-120.117,620,718,719,1
48.178,-120.117,621,716,718,2
48.229,-120.116,622,715,717,2
48.797,-120.116,623,806,806,0
48.432,-120.115,624,718,718,0
48.483,-120.115,625,718,718,0
48.533,-120.115,626,717,717,0
48.118,-120.114,627,718,721,3
48.219,-120.114,628,717,717,0
48.057,-120.112,629,721,721,0
48.422,-120.112,630,718,718,0
48.473,-120.112,631,718,718,0
48.524,-120.112,632,801,801,0
48.108,-120.111,633,718,720,2
48.311,-120.11,634,719,719,0
48.412,-120.11,635,719,719,0
48.048,-120.109,636,721,721,0
48.098,-120.109,637,718,721,3
48.463,-120.109,638,718,718,0
48.514,-120.109,639,718,731,13
48.149,-120.108,640,718,718,0
48.251,-120.108,641,714,714,0
48.403,-120.107,642,718,718,0
48.038,-120.106,643,721,721,0
