Lon,Lat,date,geometry
-120.006,48.162,717,"c(-120.006, 48.162)"
-120.129,48.167,717,"c(-120.129, 48.167)"
-120.07,48.174,717,"c(-120.07, 48.174)"
-120.041,48.178,717,"c(-120.041, 48.178)"
-120.012,48.182,717,"c(-120.012, 48.182)"
-119.983,48.186,717,"c(-119.983, 48.186)"
-120.134,48.186,717,"c(-120.134, 48.186)"
-119.953,48.19,717,"c(-119.953, 48.19)"
-120.029,48.19,717,"c(-120.029, 48.19)"
-120.093,48.202,717,"c(-120.093, 48.202)"
-120.155,48.204,717,"c(-120.155, 48.204)"
-120.064,48.206,717,"c(-120.064, 48.206)"
-120.157,48.214,717,"c(-120.157, 48.214)"
-120.143,48.216,717,"c(-120.143, 48.216)"
-120.575,48.341,717,"c(-120.575, 48.341)"
-120.028,48.393,717,"c(-120.028, 48.393)"
-120.068,48.428,717,"c(-120.068, 48.428)"
-120.057,48.44,717,"c(-120.057, 48.44)"
-120.045,48.451,717,"c(-120.045, 48.451)"
-120.778,47.663,717,"c(-120.778, 47.663)"
-120.764,47.665,717,"c(-120.764, 47.665)"
-120.781,47.673,717,"c(-120.781, 47.673)"
-120.767,47.675,717,"c(-120.767, 47.675)"
-120.752,47.677,717,"c(-120.752, 47.677)"
-120.738,47.679,717,"c(-120.738, 47.679)"
-120.723,47.681,717,"c(-120.723, 47.681)"
-120.784,47.683,717,"c(-120.784, 47.683)"
-120.77,47.685,717,"c(-120.77, 47.685)"
-120.755,47.687,717,"c(-120.755, 47.687)"
-120.741,47.689,717,"c(-120.741, 47.689)"
-120.801,47.691,717,"c(-120.801, 47.691)"
-120.787,47.693,717,"c(-120.787, 47.693)"
-120.773,47.695,717,"c(-120.773, 47.695)"
-120.758,47.697,717,"c(-120.758, 47.697)"
-120.804,47.7,717,"c(-120.804, 47.7)"
-120.79,47.702,717,"c(-120.79, 47.702)"
-120.776,47.704,717,"c(-120.776, 47.704)"
-120.761,47.706,717,"c(-120.761, 47.706)"
-120.747,47.708,717,"c(-120.747, 47.708)"
-120.807,47.71,717,"c(-120.807, 47.71)"
-120.793,47.712,717,"c(-120.793, 47.712)"
-120.779,47.714,717,"c(-120.779, 47.714)"
-120.764,47.716,717,"c(-120.764, 47.716)"
-120.825,47.718,717,"c(-120.825, 47.718)"
-120.81,47.72,717,"c(-120.81, 47.72)"
-120.796,47.722,717,"c(-120.796, 47.722)"
-120.781,47.724,717,"c(-120.781, 47.724)"
-120.828,47.728,717,"c(-120.828, 47.728)"
-120.813,47.73,717,"c(-120.813, 47.73)"
-120.799,47.732,717,"c(-120.799, 47.732)"
-120.606,48.042,717,"c(-120.606, 48.042)"
-119.994,48.174,717,"c(-119.994, 48.174)"
-120.07,48.174,717,"c(-120.07, 48.174)"
-119.98,48.176,717,"c(-119.98, 48.176)"
-120.056,48.176,717,"c(-120.056, 48.176)"
-119.965,48.178,717,"c(-119.965, 48.178)"
-120.041,48.178,717,"c(-120.041, 48.178)"
-119.951,48.18,717,"c(-119.951, 48.18)"
-119.997,48.184,717,"c(-119.997, 48.184)"
-120.073,48.184,717,"c(-120.073, 48.184)"
-119.983,48.186,717,"c(-119.983, 48.186)"
-119.968,48.188,717,"c(-119.968, 48.188)"
-120.044,48.188,717,"c(-120.044, 48.188)"
-120.12,48.188,717,"c(-120.12, 48.188)"
-120.105,48.19,717,"c(-120.105, 48.19)"
-120.09,48.192,717,"c(-120.09, 48.192)"
-120.166,48.192,717,"c(-120.166, 48.192)"
-120,48.194,717,"c(-120, 48.194)"
-120.076,48.194,717,"c(-120.076, 48.194)"
-120.152,48.194,717,"c(-120.152, 48.194)"
-119.985,48.196,717,"c(-119.985, 48.196)"
-120.061,48.196,717,"c(-120.061, 48.196)"
-119.971,48.197,717,"c(-119.971, 48.197)"
-120.047,48.198,717,"c(-120.047, 48.198)"
-120.123,48.198,717,"c(-120.123, 48.198)"
-119.956,48.199,717,"c(-119.956, 48.199)"
-120.079,48.204,717,"c(-120.079, 48.204)"
-120.155,48.204,717,"c(-120.155, 48.204)"
-119.988,48.205,717,"c(-119.988, 48.205)"
-120.14,48.206,717,"c(-120.14, 48.206)"
-119.974,48.207,717,"c(-119.974, 48.207)"
-120.05,48.207,717,"c(-120.05, 48.207)"
-120.02,48.211,717,"c(-120.02, 48.211)"
-120.006,48.213,717,"c(-120.006, 48.213)"
-120.157,48.214,717,"c(-120.157, 48.214)"
-119.991,48.215,717,"c(-119.991, 48.215)"
-120.067,48.215,717,"c(-120.067, 48.215)"
-120.143,48.216,717,"c(-120.143, 48.216)"
-119.976,48.217,717,"c(-119.976, 48.217)"
-120.052,48.217,717,"c(-120.052, 48.217)"
-120.038,48.219,717,"c(-120.038, 48.219)"
-120.16,48.223,717,"c(-120.16, 48.223)"
-120.146,48.225,717,"c(-120.146, 48.225)"
-120.055,48.227,717,"c(-120.055, 48.227)"
-120.131,48.227,717,"c(-120.131, 48.227)"
-120.163,48.233,717,"c(-120.163, 48.233)"
-120.149,48.235,717,"c(-120.149, 48.235)"
-120.134,48.237,717,"c(-120.134, 48.237)"
-120.151,48.245,717,"c(-120.151, 48.245)"
-120.607,48.346,717,"c(-120.607, 48.346)"
-120.593,48.348,717,"c(-120.593, 48.348)"
-120.578,48.35,717,"c(-120.578, 48.35)"
-120.61,48.356,717,"c(-120.61, 48.356)"
-120.613,48.366,717,"c(-120.613, 48.366)"
-120.013,48.395,717,"c(-120.013, 48.395)"
-120.045,48.401,717,"c(-120.045, 48.401)"
-120.031,48.402,717,"c(-120.031, 48.402)"
-120.016,48.404,717,"c(-120.016, 48.404)"
-120.063,48.408,717,"c(-120.063, 48.408)"
-120.048,48.41,717,"c(-120.048, 48.41)"
-120.019,48.414,717,"c(-120.019, 48.414)"
-120.004,48.416,717,"c(-120.004, 48.416)"
-120.036,48.422,717,"c(-120.036, 48.422)"
-120.054,48.43,717,"c(-120.054, 48.43)"
-120.039,48.432,717,"c(-120.039, 48.432)"
-120.024,48.434,717,"c(-120.024, 48.434)"
-120.086,48.436,717,"c(-120.086, 48.436)"
-120.071,48.438,717,"c(-120.071, 48.438)"
-120.057,48.44,717,"c(-120.057, 48.44)"
-120.027,48.443,717,"c(-120.027, 48.443)"
-120.089,48.446,717,"c(-120.089, 48.446)"
-120.045,48.451,717,"c(-120.045, 48.451)"
-120.03,48.453,717,"c(-120.03, 48.453)"
-120.077,48.457,717,"c(-120.077, 48.457)"
-120.048,48.461,717,"c(-120.048, 48.461)"
-120.033,48.463,717,"c(-120.033, 48.463)"
-120.095,48.465,717,"c(-120.095, 48.465)"
-120.065,48.469,717,"c(-120.065, 48.469)"
-120.051,48.471,717,"c(-120.051, 48.471)"
-120.036,48.473,717,"c(-120.036, 48.473)"
-120.097,48.475,717,"c(-120.097, 48.475)"
-120.083,48.477,717,"c(-120.083, 48.477)"
-120.068,48.479,717,"c(-120.068, 48.479)"
-120.053,48.481,717,"c(-120.053, 48.481)"
-120.086,48.486,717,"c(-120.086, 48.486)"
-120.637,47.693,717,"c(-120.637, 47.693)"
-120.669,47.699,717,"c(-120.669, 47.699)"
-120.625,47.705,717,"c(-120.625, 47.705)"
-120.657,47.71,717,"c(-120.657, 47.71)"
-120.689,47.716,717,"c(-120.689, 47.716)"
-120.646,47.722,717,"c(-120.646, 47.722)"
-120.677,47.728,717,"c(-120.677, 47.728)"
-120.695,47.736,717,"c(-120.695, 47.736)"
-120.666,47.74,717,"c(-120.666, 47.74)"
-120.683,47.747,717,"c(-120.683, 47.747)"
-120.686,47.757,717,"c(-120.686, 47.757)"
-120.718,47.763,717,"c(-120.718, 47.763)"
-119.892,48.187,717,"c(-119.892, 48.187)"
-119.863,48.191,717,"c(-119.863, 48.191)"
-119.924,48.193,717,"c(-119.924, 48.193)"
-119.88,48.199,717,"c(-119.88, 48.199)"
-119.851,48.203,717,"c(-119.851, 48.203)"
-119.927,48.203,717,"c(-119.927, 48.203)"
-119.912,48.205,717,"c(-119.912, 48.205)"
-119.869,48.211,717,"c(-119.869, 48.211)"
-119.944,48.211,717,"c(-119.944, 48.211)"
-119.839,48.214,717,"c(-119.839, 48.214)"
-119.901,48.217,717,"c(-119.901, 48.217)"
-119.976,48.217,717,"c(-119.976, 48.217)"
-119.871,48.22,717,"c(-119.871, 48.22)"
-119.947,48.221,717,"c(-119.947, 48.221)"
-119.903,48.226,717,"c(-119.903, 48.226)"
-119.965,48.229,717,"c(-119.965, 48.229)"
-120.026,48.231,717,"c(-120.026, 48.231)"
-119.86,48.232,717,"c(-119.86, 48.232)"
-119.935,48.232,717,"c(-119.935, 48.232)"
-119.997,48.235,717,"c(-119.997, 48.235)"
-119.982,48.236,717,"c(-119.982, 48.236)"
-119.892,48.238,717,"c(-119.892, 48.238)"
-120.043,48.239,717,"c(-120.043, 48.239)"
-119.862,48.242,717,"c(-119.862, 48.242)"
-120.014,48.242,717,"c(-120.014, 48.242)"
-119.924,48.244,717,"c(-119.924, 48.244)"
-119.985,48.246,717,"c(-119.985, 48.246)"
-120.046,48.248,717,"c(-120.046, 48.248)"
-119.88,48.25,717,"c(-119.88, 48.25)"
-119.956,48.25,717,"c(-119.956, 48.25)"
-119.941,48.252,717,"c(-119.941, 48.252)"
-119.927,48.254,717,"c(-119.927, 48.254)"
-119.912,48.256,717,"c(-119.912, 48.256)"
-120.064,48.256,717,"c(-120.064, 48.256)"
-119.897,48.258,717,"c(-119.897, 48.258)"
-119.973,48.258,717,"c(-119.973, 48.258)"
-119.883,48.259,717,"c(-119.883, 48.259)"
-120.035,48.26,717,"c(-120.035, 48.26)"
-119.944,48.262,717,"c(-119.944, 48.262)"
-120.052,48.268,717,"c(-120.052, 48.268)"
-119.961,48.27,717,"c(-119.961, 48.27)"
-120.037,48.27,717,"c(-120.037, 48.27)"
-120.055,48.278,717,"c(-120.055, 48.278)"
-120.087,48.284,717,"c(-120.087, 48.284)"
-120.043,48.289,717,"c(-120.043, 48.289)"
-120.482,48.384,717,"c(-120.482, 48.384)"
-120.514,48.389,717,"c(-120.514, 48.389)"
-120.484,48.393,717,"c(-120.484, 48.393)"
-119.887,48.431,717,"c(-119.887, 48.431)"
-119.904,48.439,717,"c(-119.904, 48.439)"
-119.966,48.441,717,"c(-119.966, 48.441)"
-119.875,48.443,717,"c(-119.875, 48.443)"
-119.922,48.447,717,"c(-119.922, 48.447)"
-119.907,48.449,717,"c(-119.907, 48.449)"
-119.954,48.453,717,"c(-119.954, 48.453)"
-119.957,48.463,717,"c(-119.957, 48.463)"
-119.974,48.47,717,"c(-119.974, 48.47)"
-119.945,48.474,717,"c(-119.945, 48.474)"
-119.977,48.48,717,"c(-119.977, 48.48)"
-119.995,48.488,717,"c(-119.995, 48.488)"
-119.965,48.492,717,"c(-119.965, 48.492)"
-119.939,48.505,717,"c(-119.939, 48.505)"
-119.956,48.513,717,"c(-119.956, 48.513)"
-120.778,47.663,717,"c(-120.778, 47.663)"
-119.933,48.172,717,"c(-119.933, 48.172)"
-119.965,48.178,717,"c(-119.965, 48.178)"
-119.921,48.184,717,"c(-119.921, 48.184)"
-120.044,48.188,717,"c(-120.044, 48.188)"
-119.953,48.19,717,"c(-119.953, 48.19)"
-119.924,48.193,717,"c(-119.924, 48.193)"
-120,48.194,717,"c(-120, 48.194)"
-119.971,48.197,717,"c(-119.971, 48.197)"
-120.047,48.198,717,"c(-120.047, 48.198)"
-119.956,48.199,717,"c(-119.956, 48.199)"
-119.944,48.211,717,"c(-119.944, 48.211)"
-119.93,48.213,717,"c(-119.93, 48.213)"
-119.962,48.219,717,"c(-119.962, 48.219)"
-120.038,48.219,717,"c(-120.038, 48.219)"
-120.114,48.219,717,"c(-120.114, 48.219)"
-119.933,48.223,717,"c(-119.933, 48.223)"
-120.009,48.223,717,"c(-120.009, 48.223)"
-119.918,48.225,717,"c(-119.918, 48.225)"
-120.07,48.225,717,"c(-120.07, 48.225)"
-120.146,48.225,717,"c(-120.146, 48.225)"
-119.965,48.229,717,"c(-119.965, 48.229)"
-120.116,48.229,717,"c(-120.116, 48.229)"
-120.026,48.231,717,"c(-120.026, 48.231)"
-119.997,48.235,717,"c(-119.997, 48.235)"
-120.134,48.237,717,"c(-120.134, 48.237)"
-119.953,48.24,717,"c(-119.953, 48.24)"
-120.029,48.241,717,"c(-120.029, 48.241)"
-119.985,48.246,717,"c(-119.985, 48.246)"
-120.14,48.256,717,"c(-120.14, 48.256)"
-120.584,48.37,717,"c(-120.584, 48.37)"
-120.569,48.372,717,"c(-120.569, 48.372)"
-120.555,48.374,717,"c(-120.555, 48.374)"
-120.587,48.38,717,"c(-120.587, 48.38)"
-119.972,48.41,717,"c(-119.972, 48.41)"
-120.036,48.422,717,"c(-120.036, 48.422)"
-119.963,48.431,717,"c(-119.963, 48.431)"
-120.024,48.434,717,"c(-120.024, 48.434)"
-119.995,48.437,717,"c(-119.995, 48.437)"
-119.966,48.441,717,"c(-119.966, 48.441)"
-120.042,48.441,717,"c(-120.042, 48.441)"
-120.027,48.443,717,"c(-120.027, 48.443)"
-120.059,48.449,717,"c(-120.059, 48.449)"
-120.03,48.453,717,"c(-120.03, 48.453)"
-120.048,48.461,717,"c(-120.048, 48.461)"
-120.033,48.463,717,"c(-120.033, 48.463)"
-120.004,48.467,717,"c(-120.004, 48.467)"
-120.051,48.471,717,"c(-120.051, 48.471)"
-120.036,48.473,717,"c(-120.036, 48.473)"
-120.021,48.475,717,"c(-120.021, 48.475)"
-120.053,48.481,717,"c(-120.053, 48.481)"
-120.012,48.496,717,"c(-120.012, 48.496)"
-120.059,48.135,717,"c(-120.059, 48.135)"
-120.03,48.139,717,"c(-120.03, 48.139)"
-120.015,48.141,717,"c(-120.015, 48.141)"
-119.986,48.145,717,"c(-119.986, 48.145)"
-119.971,48.147,717,"c(-119.971, 48.147)"
-120.047,48.147,717,"c(-120.047, 48.147)"
-120.064,48.155,717,"c(-120.064, 48.155)"
-120.035,48.159,717,"c(-120.035, 48.159)"
-120.021,48.161,717,"c(-120.021, 48.161)"
-120.169,48.202,717,"c(-120.169, 48.202)"
-119.99,48.367,717,"c(-119.99, 48.367)"
-119.961,48.371,717,"c(-119.961, 48.371)"
-120.022,48.373,717,"c(-120.022, 48.373)"
-119.931,48.375,717,"c(-119.931, 48.375)"
-119.981,48.389,717,"c(-119.981, 48.389)"
-119.966,48.39,717,"c(-119.966, 48.39)"
-119.998,48.396,717,"c(-119.998, 48.396)"
-120.001,48.406,717,"c(-120.001, 48.406)"
-120.095,48.414,717,"c(-120.095, 48.414)"
-120.007,48.426,717,"c(-120.007, 48.426)"
-120.083,48.426,717,"c(-120.083, 48.426)"
-120.101,48.434,717,"c(-120.101, 48.434)"
-120.813,47.679,717,"c(-120.813, 47.679)"
-120.799,47.681,717,"c(-120.799, 47.681)"
-120.831,47.737,717,"c(-120.831, 47.737)"
-120.638,48.048,717,"c(-120.638, 48.048)"
-120.624,48.05,717,"c(-120.624, 48.05)"
-120.627,48.06,717,"c(-120.627, 48.06)"
-120.596,48.358,717,"c(-120.596, 48.358)"
-120.628,48.364,717,"c(-120.628, 48.364)"
-120.645,48.372,717,"c(-120.645, 48.372)"
-119.913,48.154,717,"c(-119.913, 48.154)"
-119.884,48.158,717,"c(-119.884, 48.158)"
-120.19,48.22,717,"c(-120.19, 48.22)"
-120.192,48.229,717,"c(-120.192, 48.229)"
-120.198,48.249,717,"c(-120.198, 48.249)"
-120.172,48.262,717,"c(-120.172, 48.262)"
-119.925,48.406,717,"c(-119.925, 48.406)"
-120.047,48.512,717,"c(-120.047, 48.512)"
-120.115,48.533,717,"c(-120.115, 48.533)"
-120.804,47.65,718,"c(-120.804, 47.65)"
-120.761,47.656,718,"c(-120.761, 47.656)"
-120.703,47.664,718,"c(-120.703, 47.664)"
-120.807,47.71,718,"c(-120.807, 47.71)"
-120.519,48.003,718,"c(-120.519, 48.003)"
-120.565,48.007,718,"c(-120.565, 48.007)"
-119.998,48.032,718,"c(-119.998, 48.032)"
-120.603,48.032,718,"c(-120.603, 48.032)"
-119.908,48.033,718,"c(-119.908, 48.033)"
-119.894,48.035,718,"c(-119.894, 48.035)"
-119.969,48.036,718,"c(-119.969, 48.036)"
-119.885,48.057,718,"c(-119.885, 48.057)"
-120.036,48.057,718,"c(-120.036, 48.057)"
-119.888,48.066,718,"c(-119.888, 48.066)"
-120.039,48.067,718,"c(-120.039, 48.067)"
-119.954,48.088,718,"c(-119.954, 48.088)"
-120.001,48.092,718,"c(-120.001, 48.092)"
-120.047,48.096,718,"c(-120.047, 48.096)"
-120.007,48.112,718,"c(-120.007, 48.112)"
-119.797,48.119,718,"c(-119.797, 48.119)"
-120.071,48.124,718,"c(-120.071, 48.124)"
